X-position, Y-position, Z-position, X-pixel, Y-pixel, mua, mus, muaLUT, musLUT
-24.28, -2.23, 3452.08,, 536.41, 347.02, 0.0116, 0.5649, 0.0115, 0.5659
-39.38, -2.65, 3454.87,, 469.22, 345.27, 0.0116, 0.5630, 0.0115, 0.5659
-39.27, -2.71, 3453.65,, 469.66, 345.04, 0.0116, 0.5698, 0.0113, 0.5775
31.19, -11.26, 3516.98,, 781.23, 310.38, 0.0120, 0.5522, 0.0119, 0.5542
27.89, -11.62, 3527.45,, 766.41, 309.09, 0.0119, 0.5458, 0.0113, 0.5659
19.77, -12.65, 3541.50,, 730.65, 305.07, 0.0124, 0.5378, 0.0123, 0.5426
15.31, -12.93, 3537.29,, 711.34, 303.91, 0.0129, 0.5211, 0.0127, 0.5309
4.49, -13.16, 3543.91,, 664.21, 303.06, 0.0128, 0.5295, 0.0121, 0.5542
-1.25, -13.20, 3533.65,, 639.27, 302.74, 0.0123, 0.5464, 0.0117, 0.5659
-11.82, -13.20, 3530.09,, 593.16, 302.70, 0.0120, 0.5566, 0.0117, 0.5659
-17.09, -13.42, 3532.82,, 570.21, 301.84, 0.0115, 0.5759, 0.0117, 0.5659
-25.36, -12.58, 3492.82,, 532.91, 304.67, 0.0116, 0.5760, 0.0115, 0.5775
-29.18, -13.07, 3517.55,, 516.98, 303.01, 0.0119, 0.5659, 0.0115, 0.5775
-44.53, -22.00, 3431.74,, 444.94, 264.41, 0.0117, 0.5709, 0.0115, 0.5775
-44.04, -12.76, 3494.19,, 450.64, 303.94, 0.0118, 0.5704, 0.0115, 0.5775
-43.98, -12.74, 3496.99,, 451.09, 304.08, 0.0116, 0.5758, 0.0115, 0.5775
39.23, 27.30, 3282.89,, 828.68, 475.46, 0.0118, 0.5737, 0.0117, 0.5775
31.75, 25.51, 3331.56,, 791.43, 466.03, 0.0120, 0.5577, 0.0117, 0.5659
15.98, 22.86, 3341.36,, 718.34, 454.32, 0.0121, 0.5567, 0.0115, 0.5775
13.85, 23.16, 3350.57,, 708.35, 455.34, 0.0119, 0.5700, 0.0117, 0.5775
5.46, 24.76, 3332.18,, 669.94, 462.75, 0.0122, 0.5535, 0.0115, 0.5775
-0.42, 23.98, 3344.75,, 642.77, 459.01, 0.0119, 0.5664, 0.0119, 0.5659
-11.43, 23.74, 3330.44,, 591.86, 458.45, 0.0116, 0.5747, 0.0115, 0.5775
-26.35, 23.36, 3309.07,, 522.09, 457.44, 0.0114, 0.5782, 0.0111, 0.5892
-38.00, 23.77, 3243.95,, 464.35, 461.27, 0.0114, 0.5813, 0.0115, 0.5775
-53.01, 22.11, 3212.25,, 390.62, 454.94, 0.0114, 0.5821, 0.0115, 0.5775
-58.56, 20.59, 3279.71,, 369.81, 446.27, 0.0114, 0.5851, 0.0113, 0.5892
48.76, 36.58, 3190.97,, 879.97, 520.57, 0.0124, 0.5449, 0.0121, 0.5542
39.38, 41.31, 3196.89,, 834.35, 541.49, 0.0128, 0.5381, 0.0123, 0.5542
39.45, 42.66, 2928.87,, 852.05, 565.03, 0.0127, 0.5370, 0.0125, 0.5426
11.09, 33.93, 3275.26,, 696.83, 504.76, 0.0117, 0.5785, 0.0117, 0.5775
8.91, 34.52, 3268.24,, 686.69, 507.65, 0.0117, 0.5842, 0.0115, 0.5892
-1.17, 34.74, 3264.66,, 639.18, 508.77, 0.0116, 0.5852, 0.0117, 0.5775
-17.28, 30.16, 3254.76,, 562.96, 489.09, 0.0115, 0.5861, 0.0113, 0.5892
-13.75, 34.10, 3249.30,, 579.53, 506.70, 0.0114, 0.5931, 0.0115, 0.5892
-23.62, 33.60, 3240.23,, 532.45, 504.90, 0.0115, 0.5820, 0.0113, 0.5892
-35.51, 31.69, 3253.11,, 476.63, 495.89, 0.0116, 0.5735, 0.0111, 0.5892
-41.25, 30.34, 3236.14,, 448.44, 490.64, 0.0119, 0.5617, 0.0115, 0.5775
-46.21, 29.67, 3251.09,, 425.84, 487.07, 0.0116, 0.5778, 0.0113, 0.5892
-52.89, 28.14, 3234.23,, 392.93, 480.98, 0.0118, 0.5745, 0.0117, 0.5775
-61.44, 20.91, 3239.64,, 352.71, 448.76, 0.0115, 0.5863, 0.0115, 0.5892
35.11, 8.48, 3412.49,, 803.10, 391.88, 0.0123, 0.5609, 0.0121, 0.5659
34.92, 8.27, 3412.11,, 802.26, 391.01, 0.0122, 0.5631, 0.0121, 0.5659
34.65, 8.17, 3413.09,, 801.00, 390.57, 0.0123, 0.5517, 0.0119, 0.5659
33.55, 7.80, 3413.18,, 796.04, 389.04, 0.0123, 0.5473, 0.0121, 0.5542
30.60, 7.15, 3427.29,, 782.15, 386.17, 0.0125, 0.5424, 0.0121, 0.5542
28.83, 7.36, 3428.32,, 774.17, 387.03, 0.0131, 0.5382, 0.0127, 0.5542
26.23, 7.13, 3433.48,, 762.32, 386.03, 0.0137, 0.5294, 0.0133, 0.5426
24.14, 6.86, 3440.36,, 752.72, 384.85, 0.0148, 0.5203, 0.0145, 0.5309
22.09, 6.47, 3443.37,, 743.44, 383.20, 0.0160, 0.4900, 0.0151, 0.5193
18.69, 6.62, 3448.60,, 728.14, 383.79, 0.0165, 0.5078, 0.0161, 0.5193
10.51, 6.66, 3455.38,, 691.55, 383.88, 0.0178, 0.4908, 0.0169, 0.5193
8.80, 7.13, 3453.87,, 683.94, 385.88, 0.0172, 0.5022, 0.0163, 0.5309
3.16, 7.05, 3450.08,, 658.79, 385.56, 0.0160, 0.4981, 0.0151, 0.5309
1.38, 7.71, 3436.64,, 650.87, 388.44, 0.0139, 0.5270, 0.0137, 0.5309
-1.52, 8.09, 3440.04,, 637.89, 389.97, 0.0133, 0.5467, 0.0131, 0.5542
-5.30, 9.03, 3408.72,, 620.75, 394.22, 0.0125, 0.5653, 0.0121, 0.5775
-11.17, 8.57, 3437.79,, 594.67, 392.00, 0.0115, 0.5920, 0.0109, 0.6124
-32.07, -6.06, 3478.83,, 502.76, 331.33, 0.0116, 0.5795, 0.0113, 0.5892
-31.82, -5.87, 3472.92,, 503.65, 332.04, 0.0117, 0.5748, 0.0113, 0.5892
-31.76, -5.10, 3467.00,, 503.66, 335.20, 0.0114, 0.5807, 0.0115, 0.5775
-32.14, -3.14, 3467.52,, 502.00, 343.29, 0.0115, 0.5788, 0.0115, 0.5775
-32.19, 5.26, 3402.52,, 499.04, 378.44, 0.0114, 0.5827, 0.0115, 0.5775
-32.36, 8.65, 3389.64,, 497.72, 392.83, 0.0115, 0.5755, 0.0111, 0.5892
-32.33, 11.17, 3372.59,, 497.12, 403.73, 0.0117, 0.5671, 0.0113, 0.5775
-32.45, 13.83, 3364.41,, 496.19, 415.18, 0.0116, 0.5692, 0.0113, 0.5775
-32.50, 18.72, 3329.62,, 494.43, 436.87, 0.0117, 0.5686, 0.0111, 0.5892
-31.96, 23.22, 3287.99,, 495.05, 457.49, 0.0112, 0.5760, 0.0111, 0.5775
-32.53, 24.19, 3298.27,, 492.84, 461.38, 0.0115, 0.5793, 0.0115, 0.5775
-32.05, 26.10, 3273.11,, 493.97, 470.56, 0.0114, 0.5819, 0.0115, 0.5775
-31.19, 30.28, 3233.05,, 496.17, 490.51, 0.0114, 0.5836, 0.0115, 0.5775
-31.50, 35.38, 3214.75,, 493.82, 513.99, 0.0114, 0.5823, 0.0115, 0.5775
-30.94, 38.98, 3186.32,, 495.22, 531.58, 0.0113, 0.5903, 0.0113, 0.5892
-30.94, 42.64, 3164.80,, 494.18, 549.36, 0.0117, 0.5716, 0.0115, 0.5775
-30.92, 45.16, 3156.11,, 493.85, 561.36, 0.0119, 0.5758, 0.0121, 0.5659
-39.97, 39.77, 3164.34,, 450.25, 536.41, 0.0123, 0.5671, 0.0119, 0.5775
-57.36, -2.35, 3413.71,, 386.00, 346.43, 0.0115, 0.5792, 0.0115, 0.5775
-56.86, 1.70, 3387.13,, 386.24, 363.48, 0.0119, 0.5649, 0.0115, 0.5775
-56.35, 7.62, 3342.15,, 385.10, 388.94, 0.0117, 0.5737, 0.0115, 0.5775
-56.22, 10.16, 3323.12,, 384.22, 400.09, 0.0119, 0.5671, 0.0119, 0.5659
-64.13, 8.13, 3309.09,, 346.34, 391.48, 0.0117, 0.5760, 0.0113, 0.5892
-56.44, 19.61, 3282.33,, 379.99, 441.90, 0.0118, 0.5678, 0.0115, 0.5775
-55.73, 23.04, 3241.29,, 379.99, 458.16, 0.0114, 0.5792, 0.0111, 0.5892
-56.05, 24.76, 3240.51,, 378.40, 465.79, 0.0118, 0.5652, 0.0117, 0.5659
-64.63, 21.21, 3222.95,, 335.95, 450.61, 0.0118, 0.5623, 0.0117, 0.5659
-54.76, 30.79, 3174.00,, 379.10, 495.29, 0.0118, 0.5739, 0.0117, 0.5775
-64.39, 29.20, 3111.69,, 326.09, 490.76, 0.0116, 0.5782, 0.0113, 0.5892
-64.04, 36.09, 3091.37,, 325.75, 523.59, 0.0117, 0.5769, 0.0113, 0.5892
-63.59, 39.82, 3085.53,, 327.41, 541.24, 0.0116, 0.5842, 0.0117, 0.5775
-62.72, 46.60, 3027.14,, 325.72, 576.90, 0.0120, 0.5687, 0.0117, 0.5775
-52.38, 54.12, 3053.64,, 380.62, 610.28, 0.0136, 0.5334, 0.0133, 0.5426
-52.47, 53.24, 3057.67,, 380.49, 605.81, 0.0142, 0.5133, 0.0137, 0.5309
-52.89, 28.14, 3171.90,, 387.97, 483.42, 0.0115, 0.5971, 0.0113, 0.6008
-48.12, 35.66, 3194.32,, 412.79, 516.24, 0.0111, 0.6057, 0.0115, 0.5892
-51.11, 35.21, 3189.98,, 398.04, 514.45, 0.0115, 0.5814, 0.0113, 0.5892
-54.03, 34.95, 3195.08,, 384.32, 513.04, 0.0112, 0.5855, 0.0111, 0.5892
-55.24, 34.42, 3206.84,, 379.49, 510.11, 0.0113, 0.5800, 0.0113, 0.5775
-40.72, 9.64, 3380.84,, 459.28, 397.15, 0.0120, 0.5906, 0.0117, 0.6008
-41.07, 9.87, 3389.83,, 458.18, 398.01, 0.0119, 0.5946, 0.0117, 0.6008
-43.06, 10.25, 3368.82,, 447.92, 399.90, 0.0116, 0.6286, 0.0123, 0.6008
-47.24, 9.97, 3366.98,, 428.66, 398.72, 0.0117, 0.5699, 0.0115, 0.5775
-52.85, 9.04, 3365.43,, 402.93, 394.78, 0.0117, 0.5750, 0.0119, 0.5659
-52.79, 8.93, 3361.44,, 402.89, 394.33, 0.0116, 0.5831, 0.0117, 0.5775
-52.55, 8.96, 3355.26,, 403.56, 394.56, 0.0118, 0.5761, 0.0117, 0.5775
21.64, 28.28, 3290.34,, 745.97, 479.45, 0.0118, 0.5659, 0.0117, 0.5659
19.90, 30.28, 3308.18,, 737.32, 487.47, 0.0115, 0.5795, 0.0113, 0.5892
10.36, 27.56, 3299.99,, 693.01, 475.98, 0.0117, 0.5691, 0.0117, 0.5659
2.10, 28.60, 3302.85,, 654.46, 480.38, 0.0117, 0.5789, 0.0115, 0.5892
1.46, 27.70, 3307.62,, 651.50, 476.28, 0.0117, 0.5834, 0.0115, 0.5892
-8.27, 26.23, 3313.80,, 606.26, 469.74, 0.0118, 0.5796, 0.0115, 0.5892
-2.92, 27.73, 3329.99,, 631.17, 475.64, 0.0116, 0.5834, 0.0115, 0.5892
-18.87, 27.92, 3254.43,, 555.43, 479.24, 0.0115, 0.5924, 0.0115, 0.5892
-21.34, 26.87, 3303.53,, 545.26, 472.86, 0.0116, 0.5860, 0.0115, 0.5892
-21.14, 26.83, 3299.81,, 546.07, 472.80, 0.0115, 0.5903, 0.0115, 0.5892
42.05, 7.07, 3397.03,, 835.28, 386.12, 0.0124, 0.5616, 0.0123, 0.5659
43.51, 3.79, 3431.71,, 839.90, 372.10, 0.0123, 0.5521, 0.0119, 0.5659
34.55, -9.65, 3467.84,, 798.07, 316.40, 0.0127, 0.5422, 0.0127, 0.5426
35.86, -10.26, 3504.83,, 802.24, 314.31, 0.0117, 0.5831, 0.0115, 0.5892
34.72, -10.66, 3497.18,, 797.54, 312.57, 0.0118, 0.5756, 0.0117, 0.5775
24.14, -13.00, 3535.07,, 749.84, 303.59, 0.0118, 0.5682, 0.0115, 0.5775
17.67, -14.97, 3552.41,, 721.27, 295.88, 0.0126, 0.5494, 0.0121, 0.5659
16.74, -15.18, 3548.98,, 717.30, 294.98, 0.0125, 0.5483, 0.0123, 0.5542
2.71, -13.85, 3520.63,, 656.57, 299.91, 0.0123, 0.5535, 0.0123, 0.5542
-10.02, -12.47, 3497.32,, 600.58, 305.18, 0.0121, 0.5586, 0.0119, 0.5659
-16.22, -12.78, 3527.52,, 573.92, 304.35, 0.0118, 0.5712, 0.0119, 0.5659
-0.37, 20.47, 3361.39,, 643.00, 443.54, 0.0119, 0.5570, 0.0117, 0.5659
4.20, 21.17, 3360.58,, 663.95, 446.56, 0.0119, 0.5602, 0.0117, 0.5659
4.32, 21.39, 3357.07,, 664.50, 447.61, 0.0117, 0.5684, 0.0115, 0.5775
4.18, 21.16, 3361.46,, 663.86, 446.51, 0.0119, 0.5634, 0.0115, 0.5775
0.08, 20.43, 3366.17,, 645.07, 443.25, 0.0119, 0.5632, 0.0115, 0.5775
3.99, 21.45, 3361.51,, 662.98, 447.72, 0.0118, 0.5674, 0.0115, 0.5775
4.26, 21.52, 3356.41,, 664.23, 448.17, 0.0117, 0.5667, 0.0117, 0.5659
4.27, 21.67, 3355.40,, 664.28, 448.83, 0.0118, 0.5617, 0.0117, 0.5659
14.22, 22.20, 3350.37,, 710.03, 451.23, 0.0122, 0.5616, 0.0121, 0.5659
14.30, 22.23, 3347.61,, 710.48, 451.44, 0.0125, 0.5479, 0.0123, 0.5542
14.31, 22.29, 3350.34,, 710.46, 451.62, 0.0124, 0.5562, 0.0121, 0.5659
14.31, 22.17, 3347.66,, 710.49, 451.20, 0.0121, 0.5652, 0.0117, 0.5775
14.30, 22.19, 3349.56,, 710.44, 451.20, 0.0124, 0.5544, 0.0121, 0.5659
19.42, 22.66, 3336.77,, 734.31, 453.60, 0.0122, 0.5562, 0.0119, 0.5659
19.73, 22.62, 3346.93,, 735.44, 453.13, 0.0123, 0.5565, 0.0123, 0.5542
19.47, 22.80, 3343.55,, 734.34, 453.99, 0.0123, 0.5535, 0.0119, 0.5659
19.45, 22.47, 3341.45,, 734.30, 452.64, 0.0122, 0.5560, 0.0119, 0.5659
23.28, 1.67, 3465.61,, 748.11, 363.20, 0.0152, 0.5302, 0.0149, 0.5426
23.20, 1.95, 3460.62,, 747.92, 364.33, 0.0157, 0.5174, 0.0149, 0.5426
23.00, 1.61, 3469.77,, 746.74, 362.92, 0.0156, 0.5188, 0.0149, 0.5426
23.01, 1.96, 3462.00,, 747.04, 364.40, 0.0153, 0.5276, 0.0151, 0.5309
23.42, 1.75, 3466.70,, 748.70, 363.50, 0.0156, 0.5209, 0.0153, 0.5309
23.45, 1.78, 3467.40,, 748.80, 363.64, 0.0152, 0.5347, 0.0149, 0.5426
23.20, -9.20, 3520.66,, 746.15, 318.83, 0.0129, 0.5512, 0.0125, 0.5659
23.25, -8.96, 3518.88,, 746.42, 319.77, 0.0131, 0.5478, 0.0129, 0.5542
23.04, -9.13, 3525.42,, 745.33, 319.16, 0.0131, 0.5492, 0.0129, 0.5542
23.16, -9.28, 3524.31,, 745.88, 318.56, 0.0131, 0.5481, 0.0129, 0.5542
23.29, -9.47, 3519.39,, 746.56, 317.73, 0.0131, 0.5510, 0.0129, 0.5542
12.55, -10.97, 3530.20,, 699.43, 311.74, 0.0136, 0.5353, 0.0131, 0.5542
12.45, -10.96, 3537.19,, 698.89, 311.88, 0.0135, 0.5355, 0.0133, 0.5426
12.39, -11.05, 3533.55,, 698.67, 311.44, 0.0134, 0.5370, 0.0129, 0.5542
12.50, -10.97, 3534.13,, 699.17, 311.80, 0.0136, 0.5319, 0.0135, 0.5309
12.52, -11.02, 3532.20,, 699.25, 311.57, 0.0135, 0.5362, 0.0133, 0.5426
12.69, -11.36, 3541.85,, 699.85, 310.32, 0.0136, 0.5312, 0.0133, 0.5426
12.55, -11.10, 3533.49,, 699.38, 311.26, 0.0135, 0.5361, 0.0133, 0.5426
4.68, -12.29, 3543.20,, 665.05, 306.59, 0.0126, 0.5561, 0.0123, 0.5659
4.63, -12.21, 3541.60,, 664.84, 306.87, 0.0127, 0.5495, 0.0125, 0.5542
4.47, -12.35, 3542.94,, 664.13, 306.34, 0.0128, 0.5491, 0.0123, 0.5659
4.70, -12.40, 3546.86,, 665.11, 306.17, 0.0126, 0.5576, 0.0123, 0.5659
4.66, -12.40, 3542.14,, 664.97, 306.10, 0.0126, 0.5568, 0.0123, 0.5659
4.73, -12.51, 3546.88,, 665.25, 305.71, 0.0126, 0.5586, 0.0121, 0.5775
4.71, -12.48, 3544.47,, 665.15, 305.83, 0.0126, 0.5596, 0.0121, 0.5775
4.66, -12.56, 3545.35,, 664.94, 305.51, 0.0127, 0.5578, 0.0125, 0.5659
4.62, -12.60, 3546.29,, 664.76, 305.36, 0.0125, 0.5651, 0.0121, 0.5775
4.76, -12.81, 3548.29,, 665.36, 304.55, 0.0127, 0.5585, 0.0125, 0.5659
4.57, -12.45, 3532.90,, 664.61, 305.78, 0.0128, 0.5553, 0.0125, 0.5659
-9.51, -10.91, 3527.89,, 603.20, 311.97, 0.0118, 0.5796, 0.0119, 0.5775
-9.65, -10.86, 3528.19,, 602.58, 312.15, 0.0116, 0.5879, 0.0119, 0.5775
-9.41, -10.73, 3527.59,, 603.62, 312.69, 0.0116, 0.5870, 0.0115, 0.5892
-9.53, -10.85, 3525.61,, 603.10, 312.16, 0.0121, 0.5704, 0.0119, 0.5775
26.59, 36.38, 3236.09,, 771.21, 517.37, 0.0122, 0.5473, 0.0117, 0.5659
26.49, 36.26, 3237.29,, 770.69, 516.78, 0.0120, 0.5556, 0.0117, 0.5659
17.55, 33.73, 3257.36,, 727.65, 504.67, 0.0119, 0.5604, 0.0117, 0.5659
17.45, 34.18, 3259.91,, 727.11, 506.55, 0.0117, 0.5756, 0.0117, 0.5775
17.94, 34.06, 3255.33,, 729.53, 506.23, 0.0121, 0.5620, 0.0119, 0.5659
18.49, 34.15, 3255.95,, 732.13, 506.59, 0.0117, 0.5707, 0.0115, 0.5775
18.93, 33.99, 3267.58,, 733.87, 505.37, 0.0118, 0.5676, 0.0115, 0.5775
18.52, 33.85, 3261.36,, 732.10, 505.04, 0.0116, 0.5781, 0.0113, 0.5892
