X-position, Y-position, Z-position, X-pixel, Y-pixel, mua, mus, muaLUT, musLUT
-19.42, 11.02, 3392.39,, 556.55, 402.83, 0.0115, 0.5615, 0.0113, 0.5659
-19.38, 10.94, 3388.03,, 556.62, 402.56, 0.0116, 0.5606, 0.0111, 0.5775
-19.66, 10.87, 3400.13,, 555.70, 402.10, 0.0117, 0.5569, 0.0117, 0.5542
-19.57, 10.76, 3397.48,, 556.03, 401.65, 0.0117, 0.5586, 0.0115, 0.5659
41.98, 15.15, 3363.20,, 836.85, 420.85, 0.0119, 0.5425, 0.0115, 0.5542
38.83, 16.06, 3352.39,, 823.05, 424.93, 0.0116, 0.5431, 0.0115, 0.5426
34.70, 15.41, 3400.72,, 801.80, 421.22, 0.0117, 0.5433, 0.0117, 0.5426
28.18, 15.93, 3381.79,, 772.97, 423.79, 0.0123, 0.5299, 0.0119, 0.5426
24.18, 15.37, 3399.36,, 754.23, 421.08, 0.0131, 0.5103, 0.0125, 0.5309
13.54, 14.10, 3415.17,, 705.76, 415.43, 0.0144, 0.4947, 0.0137, 0.5193
12.14, 13.36, 3419.47,, 699.35, 412.25, 0.0145, 0.4985, 0.0139, 0.5193
11.81, 15.03, 3391.48,, 698.33, 419.78, 0.0146, 0.4918, 0.0141, 0.5076
5.06, 13.62, 3407.91,, 667.57, 413.53, 0.0130, 0.5198, 0.0127, 0.5309
2.65, 13.31, 3415.61,, 656.65, 412.14, 0.0130, 0.5142, 0.0125, 0.5309
1.56, 13.97, 3412.83,, 651.72, 414.92, 0.0126, 0.5227, 0.0123, 0.5309
0.59, 13.88, 3421.45,, 647.37, 414.42, 0.0124, 0.5243, 0.0119, 0.5426
-2.29, 13.69, 3403.77,, 634.36, 413.93, 0.0123, 0.5033, 0.0119, 0.5193
-12.65, 11.03, 3422.29,, 587.78, 402.47, 0.0120, 0.5766, 0.0117, 0.5892
-13.75, 11.00, 3404.98,, 582.52, 402.58, 0.0113, 0.5381, 0.0105, 0.5659
-18.45, 10.00, 3402.07,, 561.20, 398.41, 0.0116, 0.5565, 0.0117, 0.5542
-22.49, 8.80, 3414.14,, 543.28, 393.23, 0.0116, 0.5565, 0.0113, 0.5659
-27.02, 7.45, 3415.46,, 522.89, 387.52, 0.0115, 0.5648, 0.0115, 0.5659
-29.19, 7.32, 3416.44,, 513.16, 386.98, 0.0115, 0.5678, 0.0115, 0.5659
-31.57, 5.89, 3423.05,, 502.73, 380.95, 0.0114, 0.5652, 0.0113, 0.5659
33.75, 1.67, 3446.97,, 795.45, 363.21, 0.0126, 0.5366, 0.0121, 0.5542
27.36, -0.04, 3485.24,, 765.54, 356.10, 0.0125, 0.5340, 0.0123, 0.5426
19.55, -1.46, 3493.62,, 730.85, 350.29, 0.0157, 0.4818, 0.0153, 0.4960
12.22, -2.27, 3492.25,, 698.57, 346.97, 0.0168, 0.4763, 0.0165, 0.4843
8.21, -2.13, 3493.18,, 680.89, 347.53, 0.0163, 0.4795, 0.0157, 0.4960
3.74, -2.28, 3496.12,, 661.17, 346.93, 0.0148, 0.4973, 0.0141, 0.5193
-0.25, -2.31, 3483.04,, 643.60, 346.79, 0.0135, 0.5223, 0.0129, 0.5426
-4.90, -2.50, 3483.30,, 623.04, 345.98, 0.0123, 0.5430, 0.0119, 0.5542
-9.73, -2.14, 3471.26,, 601.53, 347.45, 0.0121, 0.5487, 0.0115, 0.5659
-14.23, -2.16, 3477.76,, 581.71, 347.36, 0.0114, 0.5723, 0.0115, 0.5659
-19.02, -2.02, 3466.36,, 560.22, 347.92, 0.0115, 0.5666, 0.0115, 0.5659
-22.96, -2.45, 3466.44,, 542.72, 346.14, 0.0117, 0.5566, 0.0115, 0.5659
